source,interaction,target
NCOA3,1,H4C6
TLR5,1,MYD88
KDM3B,-1,H3C3
RIPK2,1,BCL10
KDM3A,1,H3C3
CLOCK,1,H3C3
NCOA2,1,H4C6
KDM4C,-1,H3C3
KDM4B,-1,H3C3
GDE1,-1,CCNE1
KDM4A,-1,BCL2L11
GDE1,-1,CCND1
APC_CDC20,-1,CCNB1
CCNH_CDK7_MNAT1,1,CCNE1
ATR,1,RFWD3
CCNT1_CCNT2_CDK9,1,POLR2A
TNFRSF10A,1,FADD
BAK1,1,AIFM1
TP53,-1,HIF1A
CASP1,1,IL1B
CSNK2B,1,TP53
ABL1,1,WASL
PRMT6,-1,THBS1
APIP,-1,APAF1
ESCO1,1,KDM1A
TNFAIP3,-1,IKBKG
PPP4C_PPP4R1,-1,H2AX
XRCC5_XRCC6,-1,DDB1
ABL1,-1,YTHDC1
ABL1,1,ZDHHC16
XPC,1,DDB1
CASP1,1,IL18
ESCO1,1,RAD21
ABL2,1,WASL
ABL1,-1,WRN
CAPNS1,1,CAPN2
XRCC5,1,DDB2
MIR17HG,-1,E2F1
MIR17HG,-1,VEGFA
PIK3R4,1,PIK3C3
KMT2D,1,RELB
KMT2B,1,RELB
KMT2D,1,H3C3
KMT2B,1,H3C3
CARM1,1,H3C3
CARM1,1,RELB
RNF216,-1,TLR8
BID,1,BAK1
BID,1,BAX
ATM,-1,PLK1
DIABLO,-1,XIAP
ATR,-1,PLK1
PRMT6,1,PGR
MRE11_NBN_RAD50,1,ATM
PRMT6,1,ESR1
WEE1,-1,CDK1
PRKAA1_PRKAA2_PRKAB1_PRKAB2_PRKAG1_PRKAG2_PRKAG3,-1,ACACA
KMT5B,-1,H4C6
XRCC5,1,ATRIP
KMT2A,1,RELB
PPM1A,-1,PRKAG1
PRKAA1_PRKAA2_PRKAB1_PRKAB2_PRKAG1_PRKAG2_PRKAG3,-1,HMGCR
BRD4,1,CDK9
CDK9,1,RB1
CCNT1_CCNT2_CDK9,1,RB1
MBD1,1,SETDB1
CUL1_FBXW7_RBX1_SKP1,1,KMT5A
PIN1,1,FBXO5
MAPKAPK2,-1,HSPB1
E2F1,1,HIC1
SMARCA4,1,HIC1
RNF8,1,RNF168
CREBBP,1,H3C13
SOCS3,-1,TRAF6
SOCS3,-1,MAPK8IP1
MAP2K2,1,MAPK3
MAPK8,1,BMF
PPP5C,-1,TP53BP1
MAPK8,-1,IRS1
PPP5C,-1,PRKDC
MAPK8IP1,-1,MAPK8
RFWD3,1,RPA1
CASP5,1,IL18
CASP5,1,IL1B
MAPK8,1,BAX
RPA1_RPA2_RPA3,1,RFWD3
MAP2K1,1,MAPK1
SUMO1,1,YAP1
AKT1,-1,TBC1D1
AKT1,-1,TBC1D4
KMT2E,1,H3C3
PPM1D,-1,ATM
PARP1,1,XRCC1
PARP1,1,APTX
HSP90AA1,1,SMYD2
SMYD2,-1,TP53
SETD1A,1,BCL2L11
HTRA2,-1,XIAP
CXCL9,1,CXCR3
SETD2,1,H3C3
CCL5,1,CCR5
CCL8,1,CCR5
SMYD2,1,H3C3
BMP7,1,ACTR2
CCL4,1,CCR5
IL6,1,IL6ST
SETDB2,1,H3C3
MAVS,1,IKBKB
PARP1,1,H1-1
RIOX1,-1,SP7
FKBP8,1,BCL2L1
FKBP8,1,BCL2
TP53,-1,RECQL4
MYC,1,RIOX2
BMP2,1,ACTR2
GSK3A,-1,BCL3
CTBP1,-1,ELK3
SETD7,1,H3C3
PPM1D,-1,CHEK2
PRDM2,-1,H3C3
DOT1L,1,H3C3
DIABLO,-1,BIRC2
ATG16L1,1,CLTC
DIABLO,-1,BIRC3
CASP3,1,ATG4D
FADD,1,ATG5
MYC,1,MIR17HG
ATG4D,1,GABARAPL1
BMP15,1,ACTR2
DIABLO,-1,BIRC5
FADD,1,RIPK1
EGR1,1,TOPBP1
E2F1,1,PPM1D
E2F1,1,MAP3K5
HTRA2,-1,BIRC6
HTRA2,-1,BIRC3
HTRA2,-1,BIRC2
ATG4B,1,GABARAP
BIRC6,-1,DIABLO
CASP7,-1,DFFA
PRKDC_XRCC6,1,LIG4
BNIP3L,1,GABARAPL1
ATG4A,1,GABARAPL2
CASP3,-1,IKBKB
CASP3,-1,RELA
CASP3,-1,EIF4B
ATG4B,1,GABARAPL2
ATM,1,IKBKG
BIRC2,-1,CASP7
PRKDC_XRCC6,1,DCLRE1C
BIRC3,-1,CASP7
PRKDC_XRCC6,1,H2AX
ATM,1,H2AX
H2AX,1,MDC1
CASP3,-1,CTNNB1
CASP3,-1,EIF2A
BIRC5,-1,CASP9
CASP3,-1,GORASP1
PRKN,-1,VDAC1
EGFR,1,GRB2
TAB1,1,MAP3K7
CASP3,1,ROCK1
TRAF6,1,TAB2
BECN1_PIK3C3_PIK3R4_UVRAG,1,ATG9A
BIRC3,-1,CASP9
CASP3,-1,BIRC6
PINK1,1,BECN1
WDFY3,1,ATG12
CASP3,1,CASP7
PRKACA,1,GLIS2
TAB2,1,MAP3K7
DAXX,1,MAP3K5
FAS,1,DAXX
WDFY3,1,SQSTM1
BCL2L2,-1,BAK1
CASP7,-1,PARP1
VMP1,1,BECN1
CASP3,-1,DFFA
ARNT_HIF1A,1,GAPDH
EGF,1,EGFR
BCL2L2,-1,BAX
ARNT_HIF1A,1,CP
TRAF2,1,MAP3K5
BIRC6,-1,CASP7
ARNT_HIF1A,1,EPO
PRKACA,-1,MAP1LC3B
RPS6KA3,-1,TSC2
RPS6KA1,-1,TSC2
MAPK3,-1,TSC2
ATG7,1,ATG5
GSK3B,1,GLIS2
IL1A,1,IL1R1
AMBRA1,1,BECN1
PDGFRA_PDGFRB,1,GRB2
PDGFRB,1,ABL2
ABL1,1,PDGFRB
RAB7A,1,FYCO1
TRAF2,1,IKBKB
TP53,1,FASLG
CCNH_CDK7_MNAT1,1,RARA
DAP3,1,CYCS
CCNH_CDK7_MNAT1,1,RARG
SUPT20H,1,ATG9A
EIF4G2,1,XIAP
RAB33B,1,ATG16L1
EIF4G2,1,BIRC2
BAK1,1,HTRA2
BAX,1,ENDOG
EIF4G2,1,APAF1
CASP2,-1,GOLGA3
CSNK1A1L,1,GLIS2
CASP6,-1,LMNA
BAK1,1,ENDOG
CISD2,1,BCL2
BID,-1,BCL2L2
BCL2L11,-1,BCL2L1
BAD,-1,BCL2L2
BBC3,-1,BCL2L2
BCL2L11,-1,BCL2L2
BCL2L11,-1,BCL2
BID,-1,BCL2L1
BCL2,-1,BAK1
BCL2L11,1,BAK1
BCL2L1,-1,BAK1
TP53,1,BCL6
BCL6,-1,TP53
SP1,1,GDF15
TP53,-1,RAD51
PIDD1,1,RIPK1
TNFAIP3,-1,BECN1
PIDD1,1,CRADD
CRADD,1,RIPK1
CRADD,1,CASP2
CASP2,1,TRAF2
TRAF6,1,BECN1
TRAF2,1,RIPK1
TRADD,1,RIPK1
TP53,1,HIC1
PADI4,1,NPM1
TP53,-1,HSP90AB1
TP53,-1,HSPA8
TP53,-1,LGALS3
TP53,1,LIF
TP53,-1,MAD1L1
TP53,1,RNF144B
TP53,1,IGFBP3
NOTCH1,1,RRAS
TP53,1,IRF5
TP53,1,KRT8
HMGB1,-1,BECN1
CDK1,-1,PIK3C3
MCL1,-1,BECN1
CDK5,-1,PIK3C3
DYNLL1,-1,AMBRA1
ULK1,-1,DYNLL1
ULK1,1,AMBRA1
MAPK1,1,RPTOR
ULK1,1,DAPK3
FBXO5,-1,ANAPC11
PLK1,-1,FBXO5
CDK1,-1,FBXO5
EVI5,1,FBXO5
BTRC,-1,FBXO5
BCL6,-1,ZBTB17
BCL6,-1,ATR
ZBTB17,-1,CDKN1A
UBE2M,1,CUL2
CUL2_ELOB_ELOC_RBX1_VHL,-1,HIF1A
LTC4S,1,CTNNB1
OS9,1,EGLN1
OS9,1,EGLN3
EGLN1,-1,HIF1A
MYB,1,GATA3
EGLN3,-1,HIF1A
EGLN2,-1,HIF1A
VHL,-1,HIF1A
RUNX3,1,CD4
BRCA1,1,PALB2
RUNX1,1,CD4
MYB,1,KIT
MYB,1,MYC
EP300,1,MYB
LTC4S,1,CDK8
CREBBP,1,MYB
MYB,1,COL1A2
MYB,1,COL1A1
ATM,1,TP53BP1
PAXIP1,1,ATM
RAD18_UBE2B,1,TP53BP1
NLK,-1,MYB
PIN1,1,BCL6
TP53BP1,1,PAXIP1
PAXIP1,1,TP53BP1
PER1,1,ATM
TIMELESS,1,ATR
RAD18_UBE2B,1,PCNA
PRKDC_XRCC6,1,AKT2
PRKDC_XRCC6,1,AKT1
STAT1,1,MDC1
SSBP1,1,TP53
MRE11_NBN_RAD50,1,RECQL5
GSK3B,1,MDM2
SIRT1,-1,PER2
GSK3A,1,LTC4S
RORB,1,BMAL1
RORC,1,BMAL1
PARP1,1,HIF1A
ARNT_HIF1A,1,VEGFA
ARNT_HIF1A,1,SLC2A1
ARNT_HIF1A,1,CA9
NR1D1,-1,BMAL1
PER1,-1,BMAL1
PER2,-1,BMAL1
NR1D2,-1,BMAL1
PER3,-1,BMAL1
SMAD3,1,GNRHR
CAND1,-1,CUL1
UBE2M,1,CUL1
GLRX,1,ACTA1
GAPDH,-1,EDN1
POU3F2,1,GNRH1
PNPLA8,1,PTGS2
SMAD2,1,GNRHR
JUN,1,PTGS2
GLRX,-1,GAPDH
SMAD4,1,GNRHR
NR5A1,1,GNRHR
GLRX,1,IRF3
PPP3CA_PPP3CB_PPP3CC_PPP3R1_PPP3R2,1,DNM1L
FKBP4,-1,PPP3CA
DKK1,1,LRP6
SIRT6,-1,RELA
DKK1,-1,LRP5
WNT5A,1,FZD5
USP15,1,RBX1
COPS2_COPS3_COPS4_COPS5_COPS6_COPS7A_COPS7B_GPS1,1,USP15
COPS5,1,MYC
COPS5,1,HIF1A
COPS5,1,MDM2
COPS5,1,JUN
COPS5,-1,CDKN1B
NKRF,-1,NFKB2
NKRF,-1,NFKB1
NKRF,-1,RELA
NKRF,-1,REL
TWIST1,-1,TIMP1
TWIST1,-1,CDH1
TWIST1,-1,RELA
AKT2,1,TWIST1
CSNK2A1_CSNK2B,1,CTNNB1
LRP5,-1,GSK3B
FRAT1,-1,GSK3B
FRAT2,-1,GSK3B
ULK2,-1,PRKAB1
PPP3CA_PPP3CB_PPP3CC_PPP3R1_PPP3R2,1,DAPK2
PRICKLE1,-1,DVL3
F2,1,F13A1
ATM,-1,RPA1
CSNK2A1,1,CDH1
CSNK2A1,1,CTNNB1
ATM,-1,RBBP8
ATM,1,UPF1
CSNK2A1_CSNK2B,1,CDH1
CSNK2A1_CSNK2B,1,DVL2
MSH2,1,ATR
ATM,1,TRAF6
IL1R1_IL1RAP,1,MYD88
PARP1,1,CHD4
REL,1,IL12A
DVL3,1,LRRK2
TDP2,-1,TOP2A
CSNK2A1_CSNK2B,1,DVL3
CCDC88C,-1,DVL1
PARP2,-1,TOP1
IL10,-1,RELA
TDP2,-1,TOP2B
PARP1,-1,TOP1
MTNR1A,1,GNAQ
ACTA1_ACTL6A_ALKBH3_BRD2_BRD8_DMAP1_EP400_EPC1_ING3_KAT5_MORF4L1_MRGBP_RUVBL1_RUVBL2_TRRAP_VPS72_YEATS4,1,H2AZ1
KAT5,1,AR
KAT5,1,MYC
PML,1,KAT5
PPP5C,1,ATM
MIR22HG,-1,MYCBP
MTNR1A,1,GNAI3
MYCBP,1,MYC
DDX6,-1,ALOX15
CDK11A,-1,EIF3F
CDK11B,-1,EIF3F
CSNK2A1_CSNK2B,1,XRCC4
CUL4A_DDB1_DTL,-1,CDKN1A
CUL4A_DDB1_DTL,-1,CDT1
CUL4A_DDB1_DDB2_RBX1,-1,TP53
DDB2,-1,CDKN1A
P4HA1_P4HB,1,AGO2
PPM1D,-1,H2AX
COPS2_COPS3_COPS4_COPS5_COPS6_COPS7A_COPS7B_GPS1,-1,CUL1
ABL1,-1,TERT
TP53,-1,MIR17HG
PPP2CA_PPP2R5A_PTPA,1,H2AX
PRKACA,1,H3C3
AURKA,1,HDAC6
ACTL6A_ACTL6B_ARID1A_ARID1B_ARID2_PBRM1_SMARCA2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCD2_SMARCD3_SMARCE1,1,RB1
ACTL6A_ACTL6B_ARID1A_ARID1B_ARID2_PBRM1_SMARCA2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCD2_SMARCD3_SMARCE1,1,E2F3
SMARCB1,1,MYC
RB1,1,HIF1A
HDAC3,1,TRIM28
TRIM28,-1,STAT3
TRIM28,1,TBL1XR1
RB1,-1,E2F1
E2F1,1,PTTG1
KLF6,-1,PTTG1
E2F6,-1,UXT
PTTG1,-1,TP53
NSMCE2,1,TERF1
NSMCE2,1,TERF2IP
NSMCE2,1,TERF2
ATR,1,DCLRE1A
NSMCE2,1,TINF2
PRKDC,1,DCLRE1C
CDC73,-1,MYC
GSK3B,-1,FOSL1
CD28,1,GRB2
SUMO1,1,XRCC4
CD86,1,CD28
CD80,1,CD28
CSNK1A1,-1,CARD11
BCL10_CARD11_MALT1,1,IKBKB
ANXA1,1,FPR2
HDAC6,1,HSP90B1
PCBP1,-1,ALOX15
EP300,-1,HDAC6
HNRNPK,-1,ALOX15
HDAC6,1,CTTN
HDAC6,-1,TUBA4B
MAPK8,1,ELK4
MAPK7,1,ELK4
KDM4A,1,AR
KDM4A,1,H1-4
TRIM8,-1,SOCS1
RECQL5,-1,RAD51
MARCHF5,1,RIGI
ZBTB4,-1,CDKN1A
GATA3,1,IL10
DDX5,1,TP53
DTX3L,1,H4C6
DDX5,1,HDAC1
IKBKE,-1,NFKBIA
PRKN,1,IKBKG
MAP3K7,1,IKBKG
ATF1,1,IL10
CD28,-1,CBLB
NFKBIZ,-1,STAT3
SMAD4,1,IL10
SP3,1,IL10
JAK1,1,STAT3
KDM5D,-1,H3C3
ASH2L_DPY30_HCFC1_HCFC2_KMT2A_KMT2D_MEN1_RBBP5_WDR5_WDR82,1,H3C3
ASH2L_DPY30_KDM6A_KMT2B_KMT2C_NCOA6_PAXIP1_RBBP5_WDR5,1,H3C3
KDM5B,-1,H3C3
KDM5C,-1,H3C3
ASH1L,1,H3C3
KDM5A,-1,H3C3
PLK1,-1,PKMYT1
CHUK,1,NFKB2
TNFSF14,1,LTBR
MAP3K14,1,RCAN1
MAP3K14,1,RELA
CD40LG,1,CD40
TNFSF13B,1,MAP3K14
LTA,1,TNFRSF1A
LTB,1,LTBR
LTBR,1,MAP3K14
MAP3K14,1,STAT3
PRKDC,1,TP53
BCL3,1,NFKB2
STAT3,1,JUNB
STAT3,1,DNMT1
BCL3,1,NFKB1
STAT3,1,KLF4
STAT3,1,BIRC5
STAT3,1,EGR1
STAT3,1,GMCL1
STAT3,1,PIM1
STAT3,1,PRDM1
CDK2,-1,FOXO1
FOXO3,-1,BCL2L11
TSC1_TSC2,-1,MTOR
FOXO1,1,G6PC1
EP300,1,TP53
CTNNB1,1,FOXO1
NRG1,1,ERBB2
CD40,1,TRAF2
CREBBP,1,RELB
ERBB3,1,GRB7
FOXO1,1,KLF4
AKT1,1,FOXO3
AKT1,1,FOXO4
FOXO3,1,SCP2
CREBBP,1,NFKB1
USP7,1,FOXO1
SIRT1,1,FOXO1
KL,-1,INSR
NR1I2,1,FOXO1
FOXO1,1,NR1I2
KL,-1,IGF1R
CTNNB1,1,FOXO4
CTNNB1,1,FOXO3B
CTNNB1,1,FOXO3
EP300,1,H3C3
AKT1,1,EP300
CHUK,1,CREBBP
MIR17HG,-1,CXCL8
MIR17HG,-1,S1PR1
MIR22HG,-1,ESR1
PIAS1,-1,CALCOCO1
CREBBP,1,CTNNB1
EP300,1,CTNNB1
NDP,1,FZD4
SIX3,-1,WNT1
NOLC1,-1,CSNK2A1
ULK1,1,BECN1
BECN1,1,PIK3C3
AMBRA1_BECN1_PIK3C3_PIK3R4_SH3GLB1_UVRAG,1,MAP1LC3B
BAK1,1,BAX
PRMT5,-1,H4C6
APC2,1,CTNNB1
PRMT5,-1,H2AZ1
HDAC2,-1,H2AZ1
CDH1,-1,CTNNB1
HDAC2,-1,H2BC11
CDC73_CTR9_LEO1_PAF1_SKIC8,1,RNF40
MST1,-1,H2BC11
SIRT1,1,SUV39H1
MTA1,-1,SIX3
ARSA,1,HBA1
HDAC2,-1,H3C3
SIAH1,-1,CTNNB1
HDAC2,-1,H4C6
ESR1,1,WNT4
USP22,1,H2AZ1
MTA1,1,WNT1
CTBP1,-1,TCF7L2
THRA,1,NR2F2
CDX2,1,CDX4
KAT2A_SAP130_SUPT3H_SUPT7L_TADA1_TADA2A_TADA3_TAF10_TAF12_TAF5L_TAF6L_TAF9_TRRAP_USP22,-1,H2BC11
H2AX,1,TP53BP1
CUL4A_DDB1_DDB2_RBX1,1,H3C3
MAP3K7,1,MAPK8
RNF8_UBE2N,1,H2AZ1
TRAF2,1,MAP3K7
HSPB1,1,SP1
CSNK1E,1,CTNND1
HSPB1,1,UBE2N
CUL4A_DDB1_DDB2_RBX1,1,H4C6
SENP2,-1,TCF7L2
PRKD1,1,HSPB1
TSC1_TSC2,-1,GSK3B
SMURF2,-1,PRICKLE1
SMURF1,-1,PRICKLE1
RANBP2,1,TCF7L2
CSNK1E,-1,CDH1
DIXDC1,-1,AXIN1
GSK3A,1,LRP6
DIXDC1,-1,MAP3K4
SETD7,1,TAF10
SETD7,1,TP53
DFFA,-1,DFFB
RCOR1,1,KDM1A
NKIRAS1,1,NFKBIA
PTEN,1,E2F1
E2F1,1,RAD51
BACH1,-1,NFE2L2
BACH1,-1,NQO1
NKIRAS2,1,NFKBIB
GSK3B,-1,CTNNB1
DDIT3,1,ITGAM
TP53,1,SIAH1
MAPK3,-1,BCL2L11
MAPK1,-1,BCL2L11
DDIT3,1,BCL2L11
PPP2CA_PPP2R5A_PTPA,1,BCL2L11
DDIT3,1,FOSL1
CASP8,1,CASP7
CASP8,1,BID
DDIT3,1,ERO1A
NGF,1,NTRK1
CEBPB,1,RUNX2
STAT6,1,NFIL3
CASP9,1,CASP7
MAPK3,1,CEBPB
MAPK1,1,CEBPB
ACAA2,-1,BNIP3
BNIP3,-1,RHEB
NUMA1,1,TUBB
BMI1,-1,CDKN2A
CSNK1A1,1,CREB1
CEBPA_FOXO1,1,ADIPOQ
ATR,1,UPF1
BAD,-1,BCL2L1
ING1,1,CDKN1A
ATM,1,SRSF1
ATM,1,NABP2
KDM3A,1,AR
FADD,1,CASP10
CFLAR,-1,FADD
CASP3,1,CASP6
BCL2,-1,BAX
SIRT1,-1,FOXO3
FOXO3,1,FASLG
FOXO3,1,CDKN1B
FOXO3,1,GADD45A
ATM,1,FBXO31
PRMT5,1,H3C3
BAD,-1,BCL2
STAT6,1,ARG1
BCL2L1,-1,BAX
STAT6,1,RETNLB
STAT6,1,CLEC7A
STAT6,1,CHIA
IL4R,1,JAK1
PDPK1,1,PRKCA
RPS6KA4,1,FOS
IL4,1,IL4R
USP17L2,1,CDC25A
IL4R,1,JAK3
NEK11,-1,CDC25A
IL3RA,1,JAK2
AKT1,1,SMARCC1
AKT1,1,SMARCB1
STAT6,1,THY1
STAT1,1,FASLG
PIAS4,-1,STAT1
PCNA,1,DNMT1
STAT1,1,IRGC
CHUK,-1,IRF5
STAT6,1,GATA3
MAPK3,1,RPS6KA5
FOXO3,1,PINK1
TRAF6,1,IRF5
STAT1,1,ISG15
IKBKB,-1,NFKB1
MAP3K8,1,MAP2K1
MAP3K8,1,MAP2K2
KMT5B,1,H3-4
BTK,-1,TIRAP
KMT5C,1,H4C6
PRDM1,-1,RASD2
MAP3K8,1,MAP2K3
SIRT7,1,POLR1B
PDK1,1,SGK1
SGK1,-1,FOXO1
MTNR1A,1,MAPK1
KAT5,1,TP53
PAK1,-1,SORT1
MDM2,-1,KAT5
CDK1,1,KAT5
ACTA1_ACTL6A_ALKBH3_BRD2_BRD8_DMAP1_EP400_EPC1_ING3_KAT5_MORF4L1_MRGBP_RUVBL1_RUVBL2_TRRAP_VPS72_YEATS4,1,H2AX
STK11,1,PRKAA2_PRKAB2_PRKAG2
EIF2AK2,-1,EIF2S1
FAIM2,-1,BAX
EIF2AK4,-1,EIF2S1
RIGI,1,MAVS
TBK1,1,IRF3
EIF2AK1,-1,EIF2S1
MAPK8,1,JUN
MAPK14,1,MKNK2
MAPK14,1,MKNK1
HSPA5,-1,ERN2
HSPA5,-1,EIF2AK3
CSNK2A1_CSNK2B,1,MAX
CDK5RAP3,-1,CHEK1
EIF2AK3,1,NFE2L2
EIF2AK3,1,BIRC3
EIF2AK3,1,BIRC2
EIF2AK3,1,SLC7A1
EIF2AK3,1,ATF4
MAP2K6,1,MAPK11
CDK5RAP3,1,CDK1
HSPA5,-1,ERN1
SIRT1,1,NBN
TIMD4,1,HAVCR1
HSPA5,-1,ATF6
GHR,1,JAK2
PRLR,1,JAK2
JAK2,1,LEPR
IL5RA,1,JAK2
FOS,1,NFAT5
JUN,1,NFAT5
ATF2,1,GADD45A
NFAT5,1,GBGT1
PIAS4,1,IKBKG
SOCS3,1,CSF3R
PARP1,1,PIAS4
SOCS3,-1,LIFR
SOCS3,-1,IL6R
SENP3,-1,SUMO2
GNB2,-1,DVL1
NET1,1,RHOA
DVL1,1,DAAM1
ARHGEF18,1,RHOA
CEBPB_FOXO1,-1,WNT10B
PTEN,-1,ABI1
ERG,1,WNT11
DAAM1,1,RHO
CSNK2A1_CSNK2B,-1,ATF1
ATM,-1,CREB1
