source,interaction,target
TAL1,1,NKX3-1
IGF2,1,IGF1R
OPRM1,1,GNB2
LRRK2,1,MAP2K3
LRRK2,1,MAP2K4
TLR4,1,TIRAP
TLR4,1,TICAM2
TICAM2,1,TICAM1
JAK1,1,SHC1
TRAF6,1,MAP3K7
TICAM1,1,TRAF6
RCAN1,-1,PPP3CA
NOS1,-1,NFKBIA
TLR3,1,TICAM1
MYD88,1,IRAK4
GSK3B,1,RCAN1
LRRK2,1,MAP2K7
LRRK2,1,MAP2K6
ATG14,1,BECN1
SIRT2,-1,FOXO1
CARD8,-1,CASP9
CARD8,-1,APAF1
CASP1,-1,CARD8
TP53,-1,BCL2
CFLAR,-1,ATG3
RPS6KA3,-1,BAD
DAPK1,-1,BCL2
CDK1,1,BIRC5
GAPDH,-1,RHEB
CALM2,1,RAC1
TP53,1,VDR
TP53,1,TSC2
MIR17HG,-1,BCL2
GAPDH,1,APEX1
BIRC2,1,ERC1
APLF,1,PARP1
JUN,1,PPM1D
SMAD2,1,CREB1
BTRC_CUL1_SKP1,-1,CLSPN
ATM,-1,TRIM28
CCNA2_CDK2,1,BRCA1
IKBKE,1,RELA
GSK3B,1,AXIN1
CSNK1A1,-1,PRKN
E2F7,-1,SP1
GSK3B,1,LRP6
GNAQ,-1,GSK3B
BTRC_CUL1_SKP1,-1,WEE1
MAPK8,-1,YWHAZ
BCL2,-1,BECN1
CHEK2,-1,CDC25A
PLK1,-1,WEE1
HMGA2,1,ATM
ATM,1,HMGA2
PPP3CA_PPP3R1,1,BAD
BTRC_CUL1_SKP1,-1,CDC25A
CDK5,-1,PRKN
CSNK1A1,-1,CTNNB1
CSNK1A1,-1,CDC25A
ERBB2,1,GRAP
CHEK1,1,TP53
E2F1,1,CASP3
TP53,1,PERP
PPARG,1,KMT5A
TP53,1,MMP2
E2F1,1,XPC
TP53,1,MET
TP53,1,NLRC4
ATR,1,E2F1
YWHAQ,1,E2F1
E2F1,1,DDB2
ATM,-1,MDM2
MIR17HG,-1,NCOA3
DDX17,1,ESR1
DDX17,1,MDM2
TP53,1,RB1
SNCB,-1,TP53
TP53,-1,PTK2
TP53,1,PTEN
TP53,1,PRKAB1
SGK1,-1,FOXO3
SH3RF1,1,MAPK8
CHUK_IKBKB_IKBKG,-1,FOXO3
AKT1,-1,FOXO1
NR2F2,-1,CEBPA
YWHAQ,-1,RPTOR
NR2F2,-1,PPARG
DUSP16,1,MAPK8IP2
E2F1,1,CASP7
FOS_JUN,1,SPI1
TP53,1,SFN
TP53,1,COP1
MIR17HG,-1,CCND1
TP53,1,TP73
TP53,1,TP63
GSK3B,1,CCND1
ETS1,1,STAT1
STAT1,1,ICAM1
TP53,1,TNFRSF10A
TP53,1,TGFA
AXIN1,1,MYC
GSK3B,-1,MYC
CHEK1,-1,CDC25A
KAT7,1,H4C6
CASP8,1,CASP6
NCOA1,1,H4C6
CDK1,1,CSNK2B
DYRK2,1,TP53
TBK1,1,IRF7
RUNX1,1,IER3
MAVS,1,TBK1
NCOA3,1,H4C6
TLR5,1,MYD88
RIPK2,1,BCL10
NCOA2,1,H4C6
ATR,1,RFWD3
TNFRSF10A,1,FADD
CASP1,1,IL1B
CSNK2B,1,TP53
PRMT6,-1,THBS1
ESCO1,1,KDM1A
TNFAIP3,-1,IKBKG
XPC,1,DDB1
ESCO1,1,RAD21
MIR17HG,-1,E2F1
MIR17HG,-1,VEGFA
PIK3R4,1,PIK3C3
BID,1,BAK1
BID,1,BAX
ATM,-1,PLK1
DIABLO,-1,XIAP
ATR,-1,PLK1
PRMT6,1,PGR
MRE11_NBN_RAD50,1,ATM
PRMT6,1,ESR1
WEE1,-1,CDK1
PPM1A,-1,PRKAG1
BRD4,1,CDK9
CDK9,1,RB1
PIN1,1,FBXO5
MAPKAPK2,-1,HSPB1
E2F1,1,HIC1
SMARCA4,1,HIC1
RNF8,1,RNF168
CREBBP,1,H3C13
SOCS3,-1,TRAF6
SOCS3,-1,MAPK8IP1
MAP2K2,1,MAPK3
PPP5C,-1,TP53BP1
MAPK8,-1,IRS1
PPP5C,-1,PRKDC
MAPK8IP1,-1,MAPK8
CASP5,1,IL1B
MAPK8,1,BAX
MAP2K1,1,MAPK1
SUMO1,1,YAP1
PPM1D,-1,ATM
HSP90AA1,1,SMYD2
SMYD2,-1,TP53
HTRA2,-1,XIAP
CCL5,1,CCR5
IL6,1,IL6ST
MAVS,1,IKBKB
FKBP8,1,BCL2L1
FKBP8,1,BCL2
TP53,-1,RECQL4
GSK3A,-1,BCL3
PPM1D,-1,CHEK2
DIABLO,-1,BIRC2
DIABLO,-1,BIRC3
MYC,1,MIR17HG
DIABLO,-1,BIRC5
FADD,1,RIPK1
EGR1,1,TOPBP1
E2F1,1,PPM1D
E2F1,1,MAP3K5
HTRA2,-1,BIRC6
HTRA2,-1,BIRC3
HTRA2,-1,BIRC2
ATG4B,1,GABARAP
BIRC6,-1,DIABLO
CASP3,-1,IKBKB
CASP3,-1,RELA
ATG4B,1,GABARAPL2
ATM,1,IKBKG
BIRC2,-1,CASP7
BIRC3,-1,CASP7
ATM,1,H2AX
H2AX,1,MDC1
CASP3,-1,CTNNB1
BIRC5,-1,CASP9
EGFR,1,GRB2
TAB1,1,MAP3K7
CASP3,1,ROCK1
TRAF6,1,TAB2
BIRC3,-1,CASP9
CASP3,-1,BIRC6
PINK1,1,BECN1
CASP3,1,CASP7
TAB2,1,MAP3K7
DAXX,1,MAP3K5
FAS,1,DAXX
WDFY3,1,SQSTM1
CASP7,-1,PARP1
ARNT_HIF1A,1,GAPDH
ARNT_HIF1A,1,CP
TRAF2,1,MAP3K5
BIRC6,-1,CASP7
ARNT_HIF1A,1,EPO
PRKACA,-1,MAP1LC3B
RPS6KA3,-1,TSC2
RPS6KA1,-1,TSC2
MAPK3,-1,TSC2
IL1A,1,IL1R1
AMBRA1,1,BECN1
PDGFRB,1,ABL2
ABL1,1,PDGFRB
TRAF2,1,IKBKB
TP53,1,FASLG
DAP3,1,CYCS
EIF4G2,1,XIAP
EIF4G2,1,BIRC2
BAK1,1,HTRA2
EIF4G2,1,APAF1
BID,-1,BCL2L1
BCL2,-1,BAK1
BCL2L1,-1,BAK1
TP53,1,BCL6
BCL6,-1,TP53
SP1,1,GDF15
PIDD1,1,RIPK1
TNFAIP3,-1,BECN1
PIDD1,1,CRADD
CRADD,1,RIPK1
CRADD,1,CASP2
CASP2,1,TRAF2
TRAF6,1,BECN1
TRAF2,1,RIPK1
TRADD,1,RIPK1
TP53,1,HIC1
PADI4,1,NPM1
TP53,-1,HSP90AB1
TP53,-1,HSPA8
TP53,1,LIF
TP53,1,RNF144B
NOTCH1,1,RRAS
HMGB1,-1,BECN1
CDK1,-1,PIK3C3
MCL1,-1,BECN1
CDK5,-1,PIK3C3
DYNLL1,-1,AMBRA1
ULK1,-1,DYNLL1
ULK1,1,AMBRA1
MAPK1,1,RPTOR
ULK1,1,DAPK3
PLK1,-1,FBXO5
CDK1,-1,FBXO5
EVI5,1,FBXO5
BTRC,-1,FBXO5
BCL6,-1,ZBTB17
BCL6,-1,ATR
ZBTB17,-1,CDKN1A
LTC4S,1,CTNNB1
MYB,1,GATA3
RUNX3,1,CD4
RUNX1,1,CD4
MYB,1,KIT
MYB,1,MYC
EP300,1,MYB
LTC4S,1,CDK8
CREBBP,1,MYB
MYB,1,COL1A2
MYB,1,COL1A1
ATM,1,TP53BP1
PAXIP1,1,ATM
NLK,-1,MYB
PIN1,1,BCL6
TP53BP1,1,PAXIP1
PAXIP1,1,TP53BP1
PER1,1,ATM
STAT1,1,MDC1
GSK3B,1,MDM2
GSK3A,1,LTC4S
ARNT_HIF1A,1,VEGFA
SMAD3,1,GNRHR
GAPDH,-1,EDN1
PNPLA8,1,PTGS2
SMAD2,1,GNRHR
JUN,1,PTGS2
SMAD4,1,GNRHR
NR5A1,1,GNRHR
FKBP4,-1,PPP3CA
DKK1,1,LRP6
SIRT6,-1,RELA
DKK1,-1,LRP5
WNT5A,1,FZD5
COPS5,1,MYC
COPS5,1,MDM2
COPS5,1,JUN
COPS5,-1,CDKN1B
TWIST1,-1,TIMP1
TWIST1,-1,CDH1
TWIST1,-1,RELA
AKT2,1,TWIST1
LRP5,-1,GSK3B
FRAT1,-1,GSK3B
ULK2,-1,PRKAB1
PRICKLE1,-1,DVL3
CSNK2A1,1,CDH1
CSNK2A1,1,CTNNB1
ATM,-1,RBBP8
MSH2,1,ATR
ATM,1,TRAF6
DVL3,1,LRRK2
IL10,-1,RELA
MTNR1A,1,GNAQ
KAT5,1,AR
KAT5,1,MYC
PML,1,KAT5
PPP5C,1,ATM
MTNR1A,1,GNAI3
CDK11A,-1,EIF3F
CDK11B,-1,EIF3F
DDB2,-1,CDKN1A
PPM1D,-1,H2AX
TP53,-1,MIR17HG
AURKA,1,HDAC6
SMARCB1,1,MYC
HDAC3,1,TRIM28
TRIM28,-1,STAT3
TRIM28,1,TBL1XR1
RB1,-1,E2F1
E2F1,1,PTTG1
KLF6,-1,PTTG1
PTTG1,-1,TP53
CDC73,-1,MYC
CD28,1,GRB2
CSNK1A1,-1,CARD11
EP300,-1,HDAC6
HDAC6,1,CTTN
KDM4A,1,AR
ZBTB4,-1,CDKN1A
GATA3,1,IL10
DDX5,1,TP53
DDX5,1,HDAC1
IKBKE,-1,NFKBIA
PRKN,1,IKBKG
MAP3K7,1,IKBKG
ATF1,1,IL10
CD28,-1,CBLB
SMAD4,1,IL10
SP3,1,IL10
JAK1,1,STAT3
PLK1,-1,PKMYT1
MAP3K14,1,RCAN1
MAP3K14,1,RELA
MAP3K14,1,STAT3
PRKDC,1,TP53
STAT3,1,JUNB
BCL3,1,NFKB1
STAT3,1,BIRC5
STAT3,1,EGR1
STAT3,1,PIM1
CDK2,-1,FOXO1
TSC1_TSC2,-1,MTOR
EP300,1,TP53
CTNNB1,1,FOXO1
ERBB3,1,GRB7
AKT1,1,FOXO3
AKT1,1,FOXO4
CREBBP,1,NFKB1
USP7,1,FOXO1
SIRT1,1,FOXO1
NR1I2,1,FOXO1
FOXO1,1,NR1I2
CTNNB1,1,FOXO4
CTNNB1,1,FOXO3
AKT1,1,EP300
CHUK,1,CREBBP
MIR17HG,-1,CXCL8
MIR17HG,-1,S1PR1
CREBBP,1,CTNNB1
EP300,1,CTNNB1
SIX3,-1,WNT1
NOLC1,-1,CSNK2A1
ULK1,1,BECN1
BECN1,1,PIK3C3
BAK1,1,BAX
PRMT5,-1,H4C6
APC2,1,CTNNB1
CDH1,-1,CTNNB1
MTA1,-1,SIX3
SIAH1,-1,CTNNB1
HDAC2,-1,H4C6
ESR1,1,WNT4
MTA1,1,WNT1
THRA,1,NR2F2
H2AX,1,TP53BP1
MAP3K7,1,MAPK8
TRAF2,1,MAP3K7
HSPB1,1,SP1
CSNK1E,1,CTNND1
HSPB1,1,UBE2N
PRKD1,1,HSPB1
TSC1_TSC2,-1,GSK3B
SMURF2,-1,PRICKLE1
SMURF1,-1,PRICKLE1
CSNK1E,-1,CDH1
GSK3A,1,LRP6
PTEN,1,E2F1
GSK3B,-1,CTNNB1
DDIT3,1,ITGAM
TP53,1,SIAH1
CASP8,1,CASP7
CASP8,1,BID
NGF,1,NTRK1
CEBPB,1,RUNX2
CASP9,1,CASP7
MAPK3,1,CEBPB
MAPK1,1,CEBPB
BNIP3,-1,RHEB
NUMA1,1,TUBB
BMI1,-1,CDKN2A
CSNK1A1,1,CREB1
BAD,-1,BCL2L1
ING1,1,CDKN1A
KDM3A,1,AR
FADD,1,CASP10
CFLAR,-1,FADD
CASP3,1,CASP6
BCL2,-1,BAX
SIRT1,-1,FOXO3
FOXO3,1,FASLG
FOXO3,1,CDKN1B
FOXO3,1,GADD45A
ATM,1,FBXO31
BAD,-1,BCL2
BCL2L1,-1,BAX
IL4R,1,JAK1
PDPK1,1,PRKCA
RPS6KA4,1,FOS
IL4,1,IL4R
IL4R,1,JAK3
NEK11,-1,CDC25A
IL3RA,1,JAK2
AKT1,1,SMARCB1
STAT6,1,THY1
STAT1,1,FASLG
PIAS4,-1,STAT1
STAT6,1,GATA3
MAPK3,1,RPS6KA5
FOXO3,1,PINK1
STAT1,1,ISG15
IKBKB,-1,NFKB1
MAP3K8,1,MAP2K1
MAP3K8,1,MAP2K2
BTK,-1,TIRAP
MAP3K8,1,MAP2K3
PDK1,1,SGK1
SGK1,-1,FOXO1
MTNR1A,1,MAPK1
KAT5,1,TP53
PAK1,-1,SORT1
MDM2,-1,KAT5
CDK1,1,KAT5
RIGI,1,MAVS
TBK1,1,IRF3
MAPK8,1,JUN
MAPK14,1,MKNK2
MAPK14,1,MKNK1
HSPA5,-1,EIF2AK3
EIF2AK3,1,NFE2L2
EIF2AK3,1,BIRC3
EIF2AK3,1,BIRC2
EIF2AK3,1,ATF4
MAP2K6,1,MAPK11
HSPA5,-1,ERN1
GHR,1,JAK2
PRLR,1,JAK2
JAK2,1,LEPR
IL5RA,1,JAK2
ATF2,1,GADD45A
PIAS4,1,IKBKG
SOCS3,1,CSF3R
PARP1,1,PIAS4
SOCS3,-1,LIFR
SOCS3,-1,IL6R
GNB2,-1,DVL1
NET1,1,RHOA
DVL1,1,DAAM1
PTEN,-1,ABI1
ERG,1,WNT11
ATM,-1,CREB1
ATM,-1,ATF1
SFRP1,-1,FZD6
GNAO1,1,DVL1
CRTC2,1,CREB1
CREB1,1,CREBBP
CSNK1A1,-1,CARM1
CSNK1E,1,DVL1
DVL1,1,RAC1
BAG2,1,STUB1
CREB1,1,TCL1A
CREB1,1,SMARCA4
CREB1,1,SMAD6
CREB1,1,MYC
SDC4,1,DVL1
CSNK1A1,-1,PER1
ARRB1,1,DVL1
IRF1,1,TNFSF10
IRF1,1,CASP8
IRF1,1,PCNA
KAT5,1,H4C6
SIRT1,-1,KAT5
RPS6KA4,1,CREB1
KDM6A,1,RB1
H2AX,1,KAT2A
HDAC1,1,TRIM28
HDAC2,1,STAT3
SIRT1,-1,RELA
SET,-1,NME1
BMI1,1,RNF2
STAT1,-1,CREBBP
CREBBP,1,MMP9
FOXO1,1,TRIM63
IL10,-1,NFKB1
EP300,-1,RECQL4
JUN,1,CTNNB1
HSPB1,-1,AR
PRKCD,-1,HSPB1
NR2F2,1,THRA
TGFA,1,EGFR
PRKCA,1,MAPK1
PRKCA,1,MAPK3
THRB,1,PPARG
EP300,-1,BCL6
SRC,1,EGFR
CYLD,-1,TRAF6
CAPN3,-1,NFKBIA
CASP8,-1,MAP3K14
CYLD,-1,TRAF2
CYLD,-1,IKBKG
HOXA10,1,FOXO1
AR,-1,FOXO1
AR,-1,FOXO3
CEBPB,1,FOXO1
CASP8,-1,TRAF1
PRKCB,-1,KIT
TEC,1,DOK1
FYN,1,DOK1
LYN,1,DOK1
NR2F6,1,RXRA
SRC,1,KIT
LYN,1,KIT
PRKCA,-1,KIT
PTPN6,-1,KIT
MDM2,-1,AR
PRKDC,1,TRIM28
MAPK11,1,ATF2
PPARA,-1,FOXO1
PPM1D,1,MDM2
FOXO1,-1,PPARG
FOXO1,-1,NCOR2
PPARG,1,PTGS2
FOXO1,1,MAML1
PTPN6,-1,CD247
ACP1,1,ZAP70
PTPRJ,-1,LAT
PTPRJ,-1,PLCG1
BIRC2,1,IKBKG
MTOR,1,RPS6KB1
GSK3B,1,MAP3K1
ITCH,-1,CFLAR
CDC34,-1,NFKBIA
RIPK1,1,RIPK3
RIPK1,1,MAP3K1
SRC,1,IKBKB
IKBKB,-1,NFKBIB
TBK1,1,IKBKB
IKBKB,1,RELA
MAP3K3,1,IKBKB
IKBKB,-1,NFKBIA
APEX1,1,TP53
TXN,1,NFKB1
PRMT1,1,MRE11
MAP3K1,1,CHUK
